samples,subject,channels,n_sessions,dataset,pipeline,score,time
45.0,4,64,1,PhysionetMotorImagery,CSP+SVM,0.75666666,0.32818037
45.0,4,64,1,PhysionetMotorImagery,LogVariance+LDA,0.65000004,0.0876197
45.0,4,64,1,PhysionetMotorImagery,LogVariance+SVM,0.8233333,0.08495765
45.0,4,64,1,PhysionetMotorImagery,MDM,0.6766667,0.32117674
45.0,4,64,1,PhysionetMotorImagery,TRCSP+LDA,0.5566667,0.3336712
45.0,4,64,1,PhysionetMotorImagery,TS+LR,0.75,0.32890043
45.0,4,64,1,PhysionetMotorImagery,TS+SVM,0.6566667,0.3298986
45.0,40,64,1,PhysionetMotorImagery,CSP+SVM,0.6333333,0.320251
45.0,40,64,1,PhysionetMotorImagery,LogVariance+LDA,0.97,0.08964875
45.0,40,64,1,PhysionetMotorImagery,LogVariance+SVM,0.97,0.08651116
45.0,40,64,1,PhysionetMotorImagery,MDM,0.58,0.31095633
45.0,40,64,1,PhysionetMotorImagery,TRCSP+LDA,0.62666667,0.32586083
45.0,40,64,1,PhysionetMotorImagery,TS+LR,0.61333334,0.32229793
45.0,40,64,1,PhysionetMotorImagery,TS+SVM,0.58666664,0.31751505
45.0,41,64,1,PhysionetMotorImagery,CSP+SVM,0.5666667,0.35028568
45.0,41,64,1,PhysionetMotorImagery,LogVariance+LDA,0.53333336,0.086665094
45.0,41,64,1,PhysionetMotorImagery,LogVariance+SVM,0.56,0.08352181
45.0,41,64,1,PhysionetMotorImagery,MDM,0.38666666,0.3438131
45.0,41,64,1,PhysionetMotorImagery,TRCSP+LDA,0.29333335,0.3570572
45.0,41,64,1,PhysionetMotorImagery,TS+LR,0.54333335,0.35125136
45.0,41,64,1,PhysionetMotorImagery,TS+SVM,0.46,0.35234824
45.0,42,64,1,PhysionetMotorImagery,CSP+SVM,0.9933334,0.34680584
45.0,42,64,1,PhysionetMotorImagery,LogVariance+LDA,0.81333333,0.08576531
45.0,42,64,1,PhysionetMotorImagery,LogVariance+SVM,0.85666674,0.082401775
45.0,42,64,1,PhysionetMotorImagery,MDM,0.9166667,0.34291014
45.0,42,64,1,PhysionetMotorImagery,TRCSP+LDA,0.78666663,0.35288945
45.0,42,64,1,PhysionetMotorImagery,TS+LR,0.99,0.34722552
45.0,42,64,1,PhysionetMotorImagery,TS+SVM,0.95,0.34690833
45.0,43,64,1,PhysionetMotorImagery,CSP+SVM,0.84666663,0.3374842
45.0,43,64,1,PhysionetMotorImagery,LogVariance+LDA,0.66,0.088392235
45.0,43,64,1,PhysionetMotorImagery,LogVariance+SVM,0.68,0.08807071
45.0,43,64,1,PhysionetMotorImagery,MDM,0.5133333,0.33992302
45.0,43,64,1,PhysionetMotorImagery,TRCSP+LDA,0.46666664,0.34355286
